season,year,scheme,state,district,crop,insurance_comp,sum_insured,farmer_share,acturial_rate,cut_off_date,area,premium_paid_farmer,premium_paid_goi
Rabi,2018,Weather Based Crop Insurance Scheme,Telangana,Yadadri,Mango - 16 To 50 Years,AGRICULTURE INSURANCE COMPANY,800,5,5,"12/15/2018, 1:29:59 PM",1,40,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Odisha,Jajapur,Paddy (Dhan),AGRICULTURE INSURANCE COMPANY,47500,2,16,"7/30/2017, 2:30:00 PM",1,950,6650
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Jashpur,Wheat - IR,AGRICULTURE INSURANCE COMPANY,28000,1.5,2.5,"12/31/2017, 1:29:59 PM",1,420,280
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Surajpur,Potato,Bajaj Allianz General Insurance Co. Ltd,110000,3,3,"12/31/2017, 1:29:59 PM",1,3300,0
Rabi,2018,Weather Based Crop Insurance Scheme,Telangana,Yadadri,Mango - 5 To 15 Years,AGRICULTURE INSURANCE COMPANY,450,5,5,"12/15/2018, 1:29:59 PM",1,22.5,0
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Korba,Potato,AGRICULTURE INSURANCE COMPANY,100000,5,5,"12/31/2017, 1:29:59 PM",1,5000,0
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Mahasamund,Wheat - IR,AGRICULTURE INSURANCE COMPANY,25000,1.5,4.5,"12/31/2017, 1:29:59 PM",1,375,750
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Bilaspur,Lethyrus,Bajaj Allianz General Insurance Co. Ltd,12000,1.5,15,"12/31/2017, 1:29:59 PM",1,180,1620
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Kamrup Metropolitan,Paddy - Sali,NATIONAL INSURANCE COMPANY LIMITED,59740,0.16,0.16,"8/31/2018, 2:29:59 PM",1,95.584,0
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Hailakandi,Paddy - Summer,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,60100,1.5,3,"1/31/2019, 1:29:59 PM",1,901.5,901.5
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Suryapet,Rice,AGRICULTURE INSURANCE COMPANY,75000,1.5,2,"12/31/2018, 1:29:59 PM",1,1125,375
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Balaghat,Paddy - RF (UnIR),AGRICULTURE INSURANCE COMPANY,23200,2,8.4,"8/15/2017, 2:30:00 PM",1,464,1484.8
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Sambhal,Pearl Millet (Bajra),ORIENTAL INSURANCE,27200,2,5,"7/31/2019, 2:29:59 PM",1,544,816
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Balrampur,Groundnut (Pea Nut),IFFCO TOKIO GENERAL INSURANCE CO. LTD.,25000,2,2,"7/30/2017, 2:30:00 PM",1,500,0
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Barpeta,Potato,AGRICULTURE INSURANCE COMPANY,131900,3.75,3.75,"12/31/2018, 1:29:59 PM",1,4946.25,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Himachal Pradesh,Kullu,Paddy - I,AGRICULTURE INSURANCE COMPANY,30000,2,2.5,"7/30/2017, 2:30:00 PM",1,600,150
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Mungeli,Linseed (Alsi),AGRICULTURE INSURANCE COMPANY,17000,1.5,3,"12/31/2017, 1:29:59 PM",1,255,255
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Mahabubabad,Green Gram (Moong),NATIONAL INSURANCE COMPANY LIMITED,37500,2,16.24,"7/31/2018, 2:29:59 PM",1,750,5339.999999999999
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Durg,Lethyrus,Bajaj Allianz General Insurance Co. Ltd,12000,1.5,2,"12/31/2017, 1:29:59 PM",1,180,60
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Himachal Pradesh,Chamba,Maize (Makka),AGRICULTURE INSURANCE COMPANY,30000,0.8,0.8,"7/30/2017, 2:30:00 PM",1,240,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Balrampur,Pigeon Pea (Red Gram/Arhar/Tur),IFFCO TOKIO GENERAL INSURANCE CO. LTD.,12000,2,2,"7/30/2017, 2:30:00 PM",1,240,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Burhanpur,Black Gram (Urad),AGRICULTURE INSURANCE COMPANY,20000,2,2,"8/15/2017, 2:30:00 PM",1,400,0
Rabi,2018,Weather Based Crop Insurance Scheme,Telangana,Nalgonda,Mango - 16 To 50 Years,AGRICULTURE INSURANCE COMPANY,800,5,5,"12/15/2018, 1:29:59 PM",1,40,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Odisha,Malkangiri,Maize (Makka),TATA AIG GENERAL INSURANCE CO. LTD.,38750,2,2,"7/30/2017, 2:30:00 PM",1,775,0
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Komaram Bheem,Soybean (Bhat) - RF,NATIONAL INSURANCE COMPANY LIMITED,45000,2,12.63,"7/31/2018, 2:29:59 PM",1,900,4783.500000000001
